,title,hits
10,폭염 대비!!듣기만 해도 시원한 여름 노래들 | 광고없는 여름 노래 모음 [playlist],813487
50,IVE My Satisfaction Lyrics 아이브 마이 새티스팩션 가사 | After LIKE | Color Coded | Han/Rom/Eng,812222
34,IVE (아이브) 'I AM' 교차편집 (Stage Mix) [4K],807144
262,IVE (아이브) - 'I AM' COVER #shorts #IAMchallenge #아이엠 #아이브,798523
198,🎤잼민이 노래방🎤 IVE 아이브 I AM 아이엠 #shorts,794669
209,우리만의 자유로운 nineteen's kitsch🧸🎀 IVE album scrap • 아이브 ‘아이엠&키치’ 앨범 스크랩,792956
170,IVE (아이브) - Kitsch (1 HOUR LOOP) Lyrics | 1시간,776370
46,사랑이가 춤추는 아이브의 I AM #shorts,770513
331,장원영 파트로 시작하는 아이브(IVE) 신곡 I AM(아이 엠) 을 손글씨로 써 보자,767360
323,아이브 WAVE 챌린지 인기조회수 4분할,765238
321,아이브(IVE) - I AM (아이엠) 커버댄스!! 동생이 숨은 곳은 어딜까요?! ㅋㅋㅋ #shorts,763708
185,아이브 전 재산 몰빵?! 대상 받아서 다행입니다 #아이브 #shorts,759936
365,🦥 가을이랑 겹치는거 몇개? ✨ .ᐟ.ᐟ #아이브 #가을 #가을이랑겹치는거몇개 #아이브가을,754536
227,아이브(IVE) - 'My Satisfaction' 컬러 비주얼캠 ver. | #OUTNOW 220822,749346
438,I AM - IVE (아이브)【パート分け/日本語字幕/歌詞/和訳/カナルビ】,748780
264,안씻고 자는 리즈...?!??!?!!??!?? (침착맨 아이브 초대석),738789
425,🐰 원영이랑 겹치는거 몇개? ✨ .ᐟ.ᐟ #아이브 #원영 #원영이랑겹치는거몇개 #아이브원영,726776
61,아이브 레이 활동중단 선언하자마자 멤버 차별 논란 터진 이유ㄷㄷ 현재 난리난 과거 방송 장면들 총정리,717511
250,IVE 아이브 I AM 뮤비 스크랩 다이어리꾸미기 | 1분 다꾸journalwithme | scrapbooking | journaling #journal,717401
154,아이즈원을 거쳐 아이브까지 상처투성이였던 '장원영의 이야기',716313
359,아이브 '아이엠' 발매되자 해외에서 나온 반응,714300
421,[FreeMind] IVE(아이브) - LOVE DIVE (Freemind ver. Demo),713816
191,(아이브) 아이브의 응원 담당. but! #아이브 #ive #김밥,697888
106,[MPD직캠] 아이브 직캠 8K 'I AM' (IVE FanCam) | @MCOUNTDOWN_2023.4.20,696138
100,IVE 아이브 'I AM' MV Cover (Animal Crossing) #ive #아이브 #iam #cover #acnh #아이브아이엠챌린지 #모동숲,683684
429,IVE 아이브 ‘LOVE DIVE’ 응원법 Cheering Guide,672736
447,[#2022MAMA] IVE (아이브) | All Moments,666827
99,아이브_아이엠_댓글모음,658133
435,아이브 의상입고 폭주하는 #진격의언니 😱🔥 #kitschchallenge,656362
344,"[4K] 230408 MusicBank in Paris ""Kitsch"" IVE REI 아이브 레이 focus cam",652554
338,[CLEAN] [MR Removedㅣ라이브 엠알 제거] IVE(아이브) _ I AM(아이엠) @ 230418 SBS THE SHOW ENCORE,647724
104,IVE (아이브) - I AM | Show! MusicCore | MBC230422방송,645917
481,[MIRRORED] IVE 아이브 'I AM' 🌟 Dance Cover | Lisa Rhee,639065
302,"IVE(아이브), 몰입하게 만드는 무대 ＜Love Dive♬＞ #SBS가요대전 #SBSenter",627622
349,아이브 판스를 만들었어요! #shorts,617995
516,[MPD직캠] 아이브 장원영 직캠 4K 'I AM' (IVE WONYOUNG FanCam) | @MCOUNTDOWN_2023.4.13,615797
223,【다이브 테스트】눈만 보고 아이브 멤버 맞추기!#아이브#IVE#アイヴ#퀴즈#Kitsch,615433
307,외국인 vs 한국인 (한국어 대결) [아이브 리즈 레이],611104
327,대기실에서 목 푸는 아이브,609937
226,[아이브] 리더가 된 리즈,605304
405,IVE 아이브 MV 'After LIKE' - Behind The Scenes,598465
63,IVE PLAYLIST SONGS ALBUM | IVE I AM,597843
77,아이브 vs 뉴진스 하이틴 1등은 누구일까? #장원영 #뉴진스,591209
348,내가 만약 아이브 7번째 멤버라면?🔥☺,590893
294,개는 개를 알아봐 [아이브 안유진 이서] in 아이돌 인간극장,586602
361,보고 또 봐도 질리지 않는 아이브의 무대로 DIVE💙 IVE 무대 몰아보기 | IVE Stage Compilation,578384
451,아이브 (IVE) '( LOVE DIVE + After LIKE)',574177
252,IVE(아이브) - I AM - Violin Cover,568516
56,아이브 - I AM 역재생 하면 생기는 일... #shorts #안유진 #ive #iam #장원영 #역재생,565740
126,아이브✨️금발여신은 누굴까?!✨️#아이브 #ive,559103
558,IVE 아이브 MV 'Kitsch' - 비하인드 스토리,558951
340,🐯 이서랑 겹치는거 몇개? ✨ .ᐟ.ᐟ #아이브 #이서 #이서랑겹치는거몇개 #아이브이서,547770
25,IVE 아이브 'HAHAHA' MV,541437
456,[봉춘직캠 4K] IVE(아이브) - LOVE DIVE,541120
334,"IVE 아이브 ""WAVE"" 〜dance cover〜#shorts",540298
137,IVE (아이브) - I AM (아이엠) Comeback Stage Mix 무대모음 교차편집,536851
30,IVE ALL SONGS PLAYLIST 2023 | 아이브 노래 모음,514391
